feature,method,silhouette,davies_bouldin,ARI_if_labels
ConvVAE_audio_latent,KMeans(k=3),0.48998764157295227,0.97712920770546,-0.008257372732900083
ConvVAE_audio_latent,Agglomerative(k=3),0.4664338529109955,1.0189075987107339,-0.010630953824481532
ConvVAE_audio_latent,KMeans(k=4),0.4936502277851105,0.7841813457236314,-0.013367261382063312
ConvVAE_audio_latent,Agglomerative(k=4),0.49636349081993103,0.7958051375258061,-0.02067954013899933
ConvVAE_audio_latent,KMeans(k=5),0.4716939926147461,0.754201112024133,-0.035703543815572975
ConvVAE_audio_latent,Agglomerative(k=5),0.4755892753601074,0.690520583194309,-0.02512219618346167
ConvVAE_audio_latent,KMeans(k=6),0.48295748233795166,0.7180676966127543,-0.03592122110964747
ConvVAE_audio_latent,Agglomerative(k=6),0.33797571063041687,0.7975219140942434,-0.014248102176293893
ConvVAE_audio_latent,KMeans(k=7),0.3711629807949066,0.79254931100467,-0.01674493992564789
ConvVAE_audio_latent,Agglomerative(k=7),0.33845677971839905,0.7225925127924427,-0.019311499938905748
ConvVAE_audio_latent,KMeans(k=8),0.3780842125415802,0.8563654151786031,-0.021571173773177212
ConvVAE_audio_latent,Agglomerative(k=8),0.33930128812789917,0.8609519791665164,-0.01260853213859411
ConvVAE_audio_latent,"DBSCAN(eps=0.4,min_samples=5)",0.2811961770057678,1.714460250015964,0.01535132231994784
ConvVAE_audio_latent,"DBSCAN(eps=0.6,min_samples=5)",,,0.011723048978470678
ConvVAE_audio_latent,"DBSCAN(eps=0.8,min_samples=5)",,,-0.0065205658157787985
ConvVAE_audio_latent,"DBSCAN(eps=1.0,min_samples=5)",,,-0.012602726105934391
Hybrid(audio_latent + lyrics),KMeans(k=3),0.2234448790550232,1.6236502960188233,-0.020807750435541054
Hybrid(audio_latent + lyrics),Agglomerative(k=3),0.19253350794315338,1.8288553195562238,-0.011713076362730016
Hybrid(audio_latent + lyrics),KMeans(k=4),0.10842376202344894,2.0369239218376003,-0.02175554201469962
Hybrid(audio_latent + lyrics),Agglomerative(k=4),0.08545903861522675,2.017161379153491,-0.020325237441414998
Hybrid(audio_latent + lyrics),KMeans(k=5),0.13915999233722687,1.9042044690398288,-0.02324114949299888
Hybrid(audio_latent + lyrics),Agglomerative(k=5),0.08601287007331848,1.9692992895033008,-0.02524825862048607
Hybrid(audio_latent + lyrics),KMeans(k=6),0.07696789503097534,2.1501694318933926,-0.026586204806545145
Hybrid(audio_latent + lyrics),Agglomerative(k=6),0.08616714924573898,1.7582303020188332,-0.029836274938538018
Hybrid(audio_latent + lyrics),KMeans(k=7),0.10082139819860458,1.9220078692543168,-0.00586823247840519
Hybrid(audio_latent + lyrics),Agglomerative(k=7),0.06521682441234589,1.7826182584950965,-0.022073854127718062
Hybrid(audio_latent + lyrics),KMeans(k=8),0.07834254950284958,1.8865381770030765,-0.00013994245106327508
Hybrid(audio_latent + lyrics),Agglomerative(k=8),0.06778452545404434,1.7540080647174723,-0.028717019960958146
Hybrid(audio_latent + lyrics),"DBSCAN(eps=0.4,min_samples=5)",,,0.0
Hybrid(audio_latent + lyrics),"DBSCAN(eps=0.6,min_samples=5)",,,0.0
Hybrid(audio_latent + lyrics),"DBSCAN(eps=0.8,min_samples=5)",,,0.0
Hybrid(audio_latent + lyrics),"DBSCAN(eps=1.0,min_samples=5)",,,0.0
Baseline_PCA(audio_flat),KMeans(k=3),0.06216830387711525,0.856044919885738,0.012494148158702194
Baseline_PCA(audio_flat),Agglomerative(k=3),0.05568261072039604,4.5085105212397485,-0.01173719731516932
Baseline_PCA(audio_flat),KMeans(k=4),0.06172232702374458,0.854136120033197,-0.02117871356058434
Baseline_PCA(audio_flat),Agglomerative(k=4),0.05605397745966911,3.508957915193815,-0.014084788568264702
Baseline_PCA(audio_flat),KMeans(k=5),0.05877508223056793,0.854161041672316,-8.959094469615555e-05
Baseline_PCA(audio_flat),Agglomerative(k=5),0.0540434792637825,3.3436057399240333,-0.010384783559247924
Baseline_PCA(audio_flat),KMeans(k=6),0.05783743038773537,0.8522249623999906,0.019274026429564085
Baseline_PCA(audio_flat),Agglomerative(k=6),0.05396956950426102,2.9224007849006983,-0.011172692345298418
Baseline_PCA(audio_flat),KMeans(k=7),0.059780385345220566,0.8491043195671718,-0.00046979322350686724
Baseline_PCA(audio_flat),Agglomerative(k=7),0.05438770353794098,2.5022727618409375,-0.012757793108811536
Baseline_PCA(audio_flat),KMeans(k=8),0.06148911267518997,0.8458579209753339,0.005332452496929722
Baseline_PCA(audio_flat),Agglomerative(k=8),0.05447426810860634,2.2863660899932916,-0.022219603377866597
Baseline_PCA(audio_flat),"DBSCAN(eps=0.4,min_samples=5)",,,0.0
Baseline_PCA(audio_flat),"DBSCAN(eps=0.6,min_samples=5)",,,0.0
Baseline_PCA(audio_flat),"DBSCAN(eps=0.8,min_samples=5)",,,0.0
Baseline_PCA(audio_flat),"DBSCAN(eps=1.0,min_samples=5)",,,0.0
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=3),0.09043598175048828,0.8086829862378085,-0.004175966703570518
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=3),0.06748318672180176,3.7476058682822284,-0.008306854750410049
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=4),0.0051019880920648575,4.526808328665167,-0.02267036811232191
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=4),0.06529205292463303,2.91671479112486,-0.006730494861543459
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=5),-0.017174439504742622,2.9714611420370547,0.04329336989111173
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=5),0.06420215219259262,2.730376978588775,0.003158542361328031
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=6),0.004211726598441601,3.4565662823370658,0.015922947548561453
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=6),0.0647377148270607,2.4101244303620217,0.009904607970060032
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=7),0.07743167132139206,0.7964098439069369,0.0055936600687568104
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=7),0.06289689987897873,2.1144254859176455,0.011515840983490979
Baseline_Hybrid(audio_PCA + lyrics),KMeans(k=8),0.044055644422769547,0.8287330525504482,0.037218500324276586
Baseline_Hybrid(audio_PCA + lyrics),Agglomerative(k=8),0.05845078453421593,1.959148133927722,0.011960901659887736
Baseline_Hybrid(audio_PCA + lyrics),"DBSCAN(eps=0.4,min_samples=5)",,,0.0
Baseline_Hybrid(audio_PCA + lyrics),"DBSCAN(eps=0.6,min_samples=5)",,,0.0
Baseline_Hybrid(audio_PCA + lyrics),"DBSCAN(eps=0.8,min_samples=5)",,,0.0
Baseline_Hybrid(audio_PCA + lyrics),"DBSCAN(eps=1.0,min_samples=5)",,,0.0
